product_id;parent_id;sku;name;stock_now;sold_period;avg_daily;needed_for_cover;order_qty;stock_cover_days;status
211347395;0;5904967;CANPOL 0312MIX - Zestaw startowy - BUTELKA 120ML+SMOCZEK -  (mini BOY) mix;0;0;0,000;0;0;;OK
441386690;0;780259;CANPOL 1/500 - Ekologiczny PŁYN do mycia smoczków i butelek - (500 ml);1;0;0,000;0;0;;OK
402411536;0;5903837;CANPOL 12/216 - Laktator - RĘCZNY - Basic light;2;0;0,000;0;0;;OK
590496900;0;777893;CANPOL 13/107 - Grzechotka z gryzaczkiem;0;0;0,000;0;0;;OK
590503464;590503458;5909898;CANPOL 2/083 - Miękka książeczka kąpielowa z piszczkiem - Farma;0;0;0,000;0;0;;OK
590503472;590503458;5909899;CANPOL 2/083 - Miękka książeczka kąpielowa z piszczkiem - Wild Animals;0;0;0,000;0;0;;OK
590503522;0;774263;CANPOL 2/187 - Grzechotka Sowa zielony;0;0;0,000;0;0;;OK
481559337;0;5901691854857;CANPOL 2/424 - Szczotka + grzebień do włosów -(miękka) -  BIAŁA;2;0;0,000;0;0;;OK
481559342;0;5909781;CANPOL 2/424 - Szczotka + grzebień do włosów -(miękka) -  RÓŻOWA;2;0;0,000;0;0;;OK
590503523;0;774265;CANPOL 2/450 - Grzechotka kolorowe kulki;0;0;0,000;0;0;;OK
590503524;0;5911122;CANPOL 2/457 - Grzechotka z tykającą kulką kulki czerwone;0;0;0,000;0;0;;OK
590503489;590503478;774433;CANPOL 2/606 - Grzechotka Sztanga - niebieska;0;0;0,000;0;0;;OK
590503495;590503478;774434;CANPOL 2/606 - Grzechotka Sztanga - różowa;0;0;0,000;0;0;;OK
590503483;590503478;776063;CANPOL 2/606 - Grzechotka Sztanga - zielona;0;0;0,000;0;0;;OK
481559352;0;5903407027821;CANPOL 2/782 - Termometr kąpielowy -  DELFIN - NIEBIESKI;3;0;0,000;0;0;;OK
590503525;0;774298;CANPOL 2/817 - Kostka edukacyjna miękka 6szt;0;0;0,000;0;0;;OK
590503526;0;774277;CANPOL 2/890 - Miękka zabawka z grzechotką Piłka;0;0;0,000;0;0;;OK
590503527;0;774278;CANPOL 2/891 - Miękka zabawka z grzechotką Młotek;0;0;0,000;0;0;;OK
590503503;590503501;5909901;CANPOL 2/992 - Zabawki piszczące kaczuszki - Hokeista red;0;0;0,000;0;0;;OK
590503504;590503501;5909900;CANPOL 2/992 - Zabawki piszczące kaczuszki - Magik black;0;0;0,000;0;0;;OK
590503506;590503501;5909902;CANPOL 2/992 - Zabawki piszczące kaczuszki - Malarz blue;0;0;0,000;0;0;;OK
340114302;0;776115;CANPOL 22/562 - SMOCZEK  - silikon orthodontic- OKRĄGŁY -( 0m+)  -Niebieski;4;0;0,000;0;0;;OK
441386678;0;5912919;CANPOL 22/581 - Smoczek silikonowy - (6-18m) - SYMETRYCZNY - beżowy;9;0;0,000;0;0;;OK
539354874;527506204;5901691899483;CANPOL 22/667(8) - SMOCZEK  - silikon orthodontic - SYMETRYCZNY - GOOSE - 2 szt. - 0-6 m;2;0;0,000;0;0;;OK
539354876;527506204;22668;CANPOL 22/667(8) - SMOCZEK  - silikon orthodontic - SYMETRYCZNY - GOOSE - 2 szt. - 6-18 m;1;0;0,000;0;0;;OK
555895523;0;5901691851177;CANPOL 23/910 - SMOCZEK - SYMETRYCZNY - ( 0-2 m Mini) - 2szt.;2;0;0,000;0;0;;OK
211347605;0;789902;CANPOL 26/901 - Pieluszki MUŚLINOWE - 70x70cm - (2 szt.)  - Bonjour Paris blue;1;0;0,000;0;0;;OK
211347611;0;790376;CANPOL 26/901 - Pieluszki MUŚLINOWE - 70x70cm - (2 szt.)  -Bonjour Paris pink;1;0;0,000;0;0;;OK
211347340;0;5902812;CANPOL 34/920 - Smoczek silikonowy - (0-6m) - symetryczny EXOTIC Lama;1;0;0,000;0;0;;OK
441386669;0;5902815;CANPOL 34/922 - Smoczek silikonowy - (18+m) - SYMETRYCZNY - EXOTIC Koala;10;0;0,000;0;0;;OK
591138039;591138026;5907909;CANPOL 34/927(8) - Smoczek uspokajający silikonowy symetryczny BabiesBoo - pomarańczowy - (2 szt.) - 0-6 miesięcy;2;0;0,000;0;0;;OK
591138047;591138026;5907913;CANPOL 34/927(8) - Smoczek uspokajający silikonowy symetryczny BabiesBoo - pomarańczowy - (2 szt.) - 6-18 miesięcy;0;0;0,000;0;0;;OK
541213100;527590394;5910090;CANPOL 34/930(1) - SMOCZEK  - silikon orthodontic - SYMETRYCZNY - ( 0-6m, 6-18m) - MOUNTAINS żółte- 2 szt. - 6-18m;1;0;0,000;0;0;;OK
541313644;541310124;5901691888005;CANPOL 35/242(3) - BUTELKA antykolkowa - EasyStart MOUNTAINS - GREEN - (120ml / 240ml) - 120 ml (0+);2;0;0,000;0;0;;OK
541313649;541310124;5901691888029;CANPOL 35/242(3) - BUTELKA antykolkowa - EasyStart MOUNTAINS - GREEN - (120ml / 240ml) - 240 ml (3+);0;0;0,000;0;0;;OK
541189131;527557015;5901691888012;CANPOL 35/242(3) - BUTELKA antykolkowa - EasyStart MOUNTAINS BEIGE - (120ml / 240ml) - 240 ml (3+);1;0;0,000;0;0;;OK
527475473;0;5903407176499;CANPOL 35/245 - Butelka antykolkowa ze smoczkiem + pojemnik na mleko - (240 ml) - Goose - 3m+;1;0;0,000;0;0;;OK
591220282;0;774003;CANPOL 5/119 - Aspirator do nosa - wyrób medyczny;0;0;0,000;0;0;;OK
590503414;0;780511;CANPOL 56/127 - Grzechotka z gryzakiem wodnym Lizak;0;0;0,000;0;0;;OK
590503528;0;776013;CANPOL 56/145 - Grzechotka z kolorowymi koralikami;0;0;0,000;0;0;;OK
590503420;0;775151;CANPOL 56/146 - Grzechotka z gryzakiem wodnym Zwierzątka;0;0;0,000;0;0;;OK
590503508;590503507;779906;CANPOL 56/153 - Grzechotka z obrotowym elementem Sztanga - róż;0;0;0,000;0;0;;OK
590503509;590503507;779907;CANPOL 56/153 - Grzechotka z obrotowym elementem Sztanga - turkus;0;0;0,000;0;0;;OK
590503529;0;780503;CANPOL 56/498 - Zabawki do kąpieli 3 szt Kaczki;0;0;0,000;0;0;;OK
590503396;590503392;788671;CANPOL 56/610 - Sensoryczna grzechotka z gryzakiem - czerwona;0;0;0,000;0;0;;OK
590503400;590503392;788672;CANPOL 56/610 - Sensoryczna grzechotka z gryzakiem - różowa;0;0;0,000;0;0;;OK
590503405;590503392;788673;CANPOL 56/610 - Sensoryczna grzechotka z gryzakiem - zielona;0;0;0,000;0;0;;OK
590503530;0;774279;CANPOL 68/053 - Pluszowa zabawka z pozytywką 0+ Bears szara;0;0;0,000;0;0;;OK
590503511;590503510;5912939;CANPOL 68/061 - Pluszowa zabawka z grzechotką i lusterkiem DŁUGIE USZY - niebieska;0;0;0,000;0;0;;OK
