legacy_id,title,old_handle,new_handle,seo_title_updated,seo_description_updated,handle_updated,redirect_created,success,error
10133101543757,CANPOL 22/580 - SMOCZEK  - silikon orthodontic- SYMETRYCZNY -( 0m+) - RÓŻOWY,smoczek-uspokajajacy-0-6m-symetryczny-okragly-rozowy,smoczek-uspokajajacy-0-6m-symetryczny-okragly-rozowy,True,True,False,False,True,
10183832240461,CANPOL 14/000 - Maść lanolinowa - do brodawek sutkowych - (7 g),canpol-14-000-masc-lanolinowa-do-brodawek-sutkowych-7-g,canpol-14-000-masc-lanolinowa-do-brodawek-sutkowych-7-g,True,True,False,False,True,
10199904846157,Rożek niemowlęcy - standard 80x80 cm - (na rzep) - bawełna 100%- DLA DZIEWCZYNKI,rozek-niemowlecy-standard-80x80-cm-na-rzep-bawelna-100-dla-dziewczynki,rozek-niemowlecy-standard-80x80-cm-na-rzep-bawelna-100-dla-dziewczynki,True,True,False,False,True,
10199906484557,Rożek niemowlęcy - standard 80x80 cm - (na rzep) - bawełna 100%- DLA CHŁOPCA,rozek-niemowlecy-standard-80x80-cm-na-rzep-bawelna-100-dla-chlopca,rozek-niemowlecy-standard-80x80-cm-na-rzep-bawelna-100-dla-chlopca,True,True,False,False,True,
10199908843853,Rożek niemowlęcy - standard 80x80 cm - (na rzep) - bawełna 100% - SZARY W GWIAZDKI,rozek-niemowlecy-standard-80x80-cm-na-rzep-bawelna-100-szary-w-gwiazdki,rozek-niemowlecy-standard-80x80-cm-na-rzep-bawelna-100-szary-w-gwiazdki,True,True,False,False,True,
10288718348621,AKUKU A0458 -  Zestaw manicure - różowy,akuku-a0458-zestaw-manicure-rozowy,akuku-a0458-zestaw-manicure-rozowy,True,True,False,False,True,
10288796369229,SZAMPON z keratyną  - Kozie Mleko - Ziaja - 400ml,szampon-z-keratyna-kozie-mleko-ziaja-400ml,szampon-z-keratyna-kozie-mleko-ziaja-400ml,True,True,False,False,True,
10288931995981,ODŻYWKA  z keratyną (kondycjonująca) - Kozie Mleko - Ziaja - (200 ml),odzywka-z-keratyna-kondycjonujaca-kozie-mleko-ziaja-200-ml,odzywka-z-keratyna-kondycjonujaca-kozie-mleko-ziaja-200-ml,True,True,False,False,True,
10289048846669,B.O.721/03 - Szczotka do butelek i smoczków - z mini szczoteczką - SZARA,b-o-721-03-szczotka-do-butelek-i-smoczkow-z-mini-szczoteczka-szara,b-o-721-03-szczotka-do-butelek-i-smoczkow-z-mini-szczoteczka-szara,True,True,False,False,True,
10309708841293,AKUKU A0684 -  Butelka do podmywania - Peri - (350 ml),akuku-a0684-butelka-do-podmywania-peri-350-ml,akuku-a0684-butelka-do-podmywania-peri-350-ml,True,True,False,False,True,
